"typeResult","idGame","slugTeam","idTeam","teamName","cityTeam","minExact","ptsOffTOV","ptsSecondChance","ptsFastBreak","ptsPaint","ptsOffTOVOpponent","ptsSecondChanceOpponent","ptsFastBreakOpponent","ptsPaintOpponent","blk","blka","pf","pfd"
"team",22200018,"IND",1610612754,"Pacers","Indiana",240,19,22,20,70,20,15,20,42,6,4,34,22
"team",22200025,"UTA",1610612762,"Jazz","Utah",265,23,23,24,52,16,27,29,64,8,7,23,22
"team",22200025,"MIN",1610612750,"Timberwolves","Minnesota",265,16,27,29,64,23,23,24,52,7,8,22,23
"team",22200026,"GSW",1610612744,"Warriors","Golden State",240,27,12,11,48,30,9,16,44,3,2,23,22
"team",22200026,"DEN",1610612743,"Nuggets","Denver",240,30,9,16,44,27,12,11,48,2,3,22,23
"team",22200027,"POR",1610612757,"Trail Blazers","Portland",265,18,11,21,48,23,12,16,50,5,1,19,29
"team",22200027,"PHX",1610612756,"Suns","Phoenix",265,23,12,16,50,18,11,21,48,1,5,29,19
"team",22200029,"IND",1610612754,"Pacers","Indiana",240,15,21,12,48,15,18,17,36,15,3,21,20
"team",22200029,"DET",1610612765,"Pistons","Detroit",240,15,18,17,36,15,21,12,48,3,15,20,21
"team",22200030,"ORL",1610612753,"Magic","Orlando",240,10,22,14,42,14,6,18,42,7,6,24,21
"team",22200030,"BOS",1610612738,"Celtics","Boston",240,14,6,18,42,10,22,14,42,6,7,21,24
"team",22200032,"CLE",1610612739,"Cavaliers","Cleveland",240,14,12,22,58,20,8,6,42,5,7,17,19
"team",22200032,"CHI",1610612741,"Bulls","Chicago",240,20,8,6,42,14,12,22,58,7,5,19,17
"team",22200035,"OKC",1610612760,"Thunder","Oklahoma City",240,21,11,18,50,10,20,5,38,5,6,27,21
"team",22200035,"DEN",1610612743,"Nuggets","Denver",240,10,20,5,38,21,11,18,50,6,5,21,27
"team",22200033,"MIL",1610612749,"Bucks","Milwaukee",240,19,11,25,58,16,14,9,38,10,6,22,22
"team",22200033,"HOU",1610612745,"Rockets","Houston",240,16,14,9,38,19,11,25,58,6,10,22,22
"team",22200036,"SAC",1610612758,"Kings","Sacramento",240,13,13,14,40,15,9,9,46,5,3,21,21
"team",22200036,"LAC",1610612746,"Clippers","LA",240,15,9,9,46,13,13,14,40,3,5,21,21
"team",22200028,"SAS",1610612759,"Spurs","San Antonio",240,13,20,12,42,19,14,17,46,7,5,20,15
"team",22200028,"PHI",1610612755,"76ers","Philadelphia",240,19,14,17,46,13,20,12,42,5,7,15,20
"team",22200034,"MEM",1610612763,"Grizzlies","Memphis",240,11,11,18,44,24,27,16,46,8,7,29,24
"team",22200034,"DAL",1610612742,"Mavericks","Dallas",240,24,27,16,46,11,11,18,44,7,8,24,29
"team",22200031,"TOR",1610612761,"Raptors","Toronto",240,16,20,11,40,7,13,11,50,5,2,25,26
"team",22200031,"MIA",1610612748,"Heat","Miami",240,7,13,11,50,16,20,11,40,2,5,26,25
"team",22200042,"SAC",1610612758,"Kings","Sacramento",240,23,12,31,64,25,10,24,48,2,5,29,21
"team",22200042,"GSW",1610612744,"Warriors","Golden State",240,25,10,24,48,23,12,31,64,5,2,21,29
"team",22200039,"WAS",1610612764,"Wizards","Washington",265,19,14,15,54,28,24,15,48,4,5,24,20
"team",22200039,"CLE",1610612739,"Cavaliers","Cleveland",265,28,24,15,48,19,14,15,54,5,4,20,24
"team",22200043,"PHX",1610612756,"Suns","Phoenix",240,18,16,7,46,12,8,11,46,3,0,18,18
"team",22200043,"LAC",1610612746,"Clippers","LA",240,12,8,11,46,18,16,7,46,0,3,18,18
"team",22200040,"UTA",1610612762,"Jazz","Utah",265,21,15,13,56,15,17,28,64,6,6,20,22
"team",22200040,"NOP",1610612740,"Pelicans","New Orleans",265,15,17,28,64,21,15,13,56,6,6,22,20
"team",22200038,"CHA",1610612766,"Hornets","Charlotte",240,17,23,11,62,18,22,7,52,6,9,24,21
"team",22200038,"ATL",1610612737,"Hawks","Atlanta",240,18,22,7,52,17,23,11,62,9,6,21,24
"team",22200037,"POR",1610612757,"Trail Blazers","Portland",240,19,14,15,38,17,10,19,66,5,9,20,24
"team",22200037,"LAL",1610612747,"Lakers","Los Angeles",240,17,10,19,66,19,14,15,38,9,5,24,20
"team",22200041,"OKC",1610612760,"Thunder","Oklahoma City",240,19,19,19,54,14,17,11,60,4,3,15,17
"team",22200041,"MIN",1610612750,"Timberwolves","Minnesota",240,14,17,11,60,19,19,19,54,3,4,17,15
"team",22200044,"PHI",1610612755,"76ers","Philadelphia",240,19,12,7,26,7,10,24,50,7,4,20,23
"team",22200044,"IND",1610612754,"Pacers","Indiana",240,7,10,24,50,19,12,7,26,4,7,23,20
"team",22200046,"ORL",1610612753,"Magic","Orlando",240,20,24,8,48,20,27,8,56,4,3,23,24
"team",22200046,"NYK",1610612752,"Knicks","New York",240,20,27,8,56,20,24,8,48,3,4,24,23
"team",22200045,"TOR",1610612761,"Raptors","Toronto",240,15,12,27,36,13,11,13,34,6,3,22,15
"team",22200045,"MIA",1610612748,"Heat","Miami",240,13,11,13,34,15,12,27,36,3,6,15,22
"team",22200047,"CHI",1610612741,"Bulls","Chicago",240,18,16,14,46,16,12,10,34,6,7,18,24
"team",22200047,"BOS",1610612738,"Celtics","Boston",240,16,12,10,34,18,16,14,46,7,6,24,18
"team",22200051,"POR",1610612757,"Trail Blazers","Portland",240,11,18,26,62,11,15,13,60,6,1,15,28
"team",22200051,"DEN",1610612743,"Nuggets","Denver",240,11,15,13,60,11,18,26,62,1,6,28,15
"team",22200049,"MEM",1610612763,"Grizzlies","Memphis",240,16,16,16,58,12,14,15,54,3,7,22,30
"team",22200049,"BKN",1610612751,"Nets","Brooklyn",240,12,14,15,54,16,16,16,58,7,3,30,22
"team",22200048,"UTA",1610612762,"Jazz","Utah",240,13,14,8,66,19,19,6,52,10,7,27,20
"team",22200048,"HOU",1610612745,"Rockets","Houston",240,19,19,6,52,13,14,8,66,7,10,20,27
"team",22200050,"SAS",1610612759,"Spurs","San Antonio",240,23,15,24,60,20,19,14,46,0,5,21,18
"team",22200050,"MIN",1610612750,"Timberwolves","Minnesota",240,20,19,14,46,23,15,24,60,5,0,18,21
"team",22200054,"OKC",1610612760,"Thunder","Oklahoma City",240,23,26,17,62,3,12,9,48,8,14,13,18
"team",22200054,"LAC",1610612746,"Clippers","LA",240,3,12,9,48,23,26,17,62,14,8,18,13
"team",22200052,"WAS",1610612764,"Wizards","Washington",240,15,19,18,54,12,18,7,44,7,1,21,26
"team",22200052,"DET",1610612765,"Pistons","Detroit",240,12,18,7,44,15,19,18,54,1,7,26,21
"team",22200055,"PHX",1610612756,"Suns","Phoenix",240,20,17,11,62,17,17,14,48,4,7,19,28
"team",22200055,"GSW",1610612744,"Warriors","Golden State",240,17,17,14,48,20,17,11,62,7,4,28,19
"team",22200053,"NOP",1610612740,"Pelicans","New Orleans",240,18,10,11,56,20,14,6,54,3,5,21,16
"team",22200053,"DAL",1610612742,"Mavericks","Dallas",240,20,14,6,54,18,10,11,56,5,3,16,21
"team",22200057,"DET",1610612765,"Pistons","Detroit",240,14,15,8,42,12,9,11,56,6,12,25,20
"team",22200057,"ATL",1610612737,"Hawks","Atlanta",240,12,9,11,56,14,15,8,42,12,6,20,25
"team",22200061,"IND",1610612754,"Pacers","Indiana",240,18,4,23,36,22,8,17,46,12,5,18,25
"team",22200061,"CHI",1610612741,"Bulls","Chicago",240,22,8,17,46,18,4,23,36,5,12,25,18
"team",22200062,"SAS",1610612759,"Spurs","San Antonio",240,20,15,6,48,22,0,8,54,2,6,18,19
"team",22200062,"MIN",1610612750,"Timberwolves","Minnesota",240,22,0,8,54,20,15,6,48,6,2,19,18
"team",22200060,"MIL",1610612749,"Bucks","Milwaukee",240,15,13,7,48,14,11,20,42,12,6,22,24
"team",22200060,"BKN",1610612751,"Nets","Brooklyn",240,14,11,20,42,15,13,7,48,6,12,24,22
"team",22200056,"ORL",1610612753,"Magic","Orlando",240,14,9,6,54,19,19,4,46,6,3,29,22
"team",22200056,"CLE",1610612739,"Cavaliers","Cleveland",240,19,19,4,46,14,9,6,54,3,6,22,29
"team",22200064,"LAL",1610612747,"Lakers","Los Angeles",240,14,8,18,56,18,15,35,60,4,5,16,17
"team",22200064,"DEN",1610612743,"Nuggets","Denver",240,18,15,35,60,14,8,18,56,5,4,17,16
"team",22200063,"UTA",1610612762,"Jazz","Utah",240,20,12,25,50,13,18,8,48,5,2,28,30
"team",22200063,"HOU",1610612745,"Rockets","Houston",240,13,18,8,48,20,12,25,50,2,5,30,28
"team",22200065,"POR",1610612757,"Trail Blazers","Portland",240,23,12,14,40,29,12,29,52,4,2,17,22
"team",22200065,"MIA",1610612748,"Heat","Miami",240,29,12,29,52,23,12,14,40,2,4,22,17
"team",22200059,"TOR",1610612761,"Raptors","Toronto",240,21,9,29,46,13,3,17,42,5,2,21,12
"team",22200059,"PHI",1610612755,"76ers","Philadelphia",240,13,3,17,42,21,9,29,46,2,5,12,21
"team",22200058,"NYK",1610612752,"Knicks","New York",265,14,21,5,74,25,17,12,56,11,5,24,24
"team",22200058,"CHA",1610612766,"Hornets","Charlotte",265,25,17,12,56,14,21,5,74,5,11,24,24
"team",22200066,"DAL",1610612742,"Mavericks","Dallas",265,22,4,10,40,18,16,31,54,4,6,23,28
"team",22200066,"BKN",1610612751,"Nets","Brooklyn",265,18,16,31,54,22,4,10,40,6,4,28,23
"team",22200067,"OKC",1610612760,"Thunder","Oklahoma City",240,31,21,13,54,21,11,21,68,4,5,21,17
"team",22200067,"LAC",1610612746,"Clippers","LA",240,21,11,21,68,31,21,13,54,5,4,17,21
"team",22200068,"MIA",1610612748,"Heat","Miami",240,15,8,19,34,18,27,12,48,5,2,15,13
"team",22200068,"GSW",1610612744,"Warriors","Golden State",240,18,27,12,48,15,8,19,34,2,5,13,15
"team",22200069,"SAC",1610612758,"Kings","Sacramento",240,20,15,14,54,19,12,12,66,2,3,20,18
"team",22200069,"MEM",1610612763,"Grizzlies","Memphis",240,19,12,12,66,20,15,14,54,3,2,18,20
"team",22200070,"DET",1610612765,"Pistons","Detroit",240,10,17,6,54,11,18,8,70,4,8,22,26
"team",22200070,"ATL",1610612737,"Hawks","Atlanta",240,11,18,8,70,10,17,6,54,8,4,26,22
"team",22200073,"TOR",1610612761,"Raptors","Toronto",240,14,15,16,38,25,11,15,44,5,6,15,20
"team",22200073,"PHI",1610612755,"76ers","Philadelphia",240,25,11,15,44,14,15,16,38,6,5,20,15
"team",22200074,"WAS",1610612764,"Wizards","Washington",240,19,13,5,38,19,17,12,38,3,7,23,19
"team",22200074,"IND",1610612754,"Pacers","Indiana",240,19,17,12,38,19,13,5,38,7,3,19,23
"team",22200072,"CLE",1610612739,"Cavaliers","Cleveland",265,24,14,12,48,13,9,15,54,2,2,28,27
"team",22200072,"BOS",1610612738,"Celtics","Boston",265,13,9,15,54,24,14,12,48,2,2,27,28
"team",22200075,"NYK",1610612752,"Knicks","New York",240,2,17,13,46,17,20,22,50,5,8,19,23
"team",22200075,"MIL",1610612749,"Bucks","Milwaukee",240,17,20,22,50,2,17,13,46,8,5,23,19
"team",22200079,"PHX",1610612756,"Suns","Phoenix",240,17,18,22,60,17,8,11,36,7,1,18,21
"team",22200079,"NOP",1610612740,"Pelicans","New Orleans",240,17,8,11,36,17,18,22,60,1,7,21,18
"team",22200080,"POR",1610612757,"Trail Blazers","Portland",240,21,18,18,64,13,15,21,48,6,6,19,18
"team",22200080,"HOU",1610612745,"Rockets","Houston",240,13,15,21,48,21,18,18,64,6,6,18,19
"team",22200071,"ORL",1610612753,"Magic","Orlando",240,16,3,8,56,11,15,14,38,5,4,22,18
"team",22200071,"CHA",1610612766,"Hornets","Charlotte",240,11,15,14,38,16,3,8,56,4,5,18,22
"team",22200078,"UTA",1610612762,"Jazz","Utah",240,16,9,20,54,7,19,24,34,8,4,30,18
"team",22200078,"DEN",1610612743,"Nuggets","Denver",240,7,19,24,34,16,9,20,54,4,8,18,30
"team",22200077,"SAS",1610612759,"Spurs","San Antonio",240,10,12,10,58,30,22,25,52,3,3,17,19
"team",22200077,"CHI",1610612741,"Bulls","Chicago",240,30,22,25,52,10,12,10,58,3,3,19,17
"team",22200076,"MIN",1610612750,"Timberwolves","Minnesota",240,25,8,22,46,9,12,16,56,8,5,21,21
"team",22200076,"LAL",1610612747,"Lakers","Los Angeles",240,9,12,16,56,25,8,22,46,5,8,21,21
"team",22200082,"GSW",1610612744,"Warriors","Golden State",265,13,18,6,48,9,23,4,54,6,2,31,14
"team",22200082,"CHA",1610612766,"Hornets","Charlotte",265,9,23,4,54,13,18,6,48,2,6,14,31
"team",22200085,"MIL",1610612749,"Bucks","Milwaukee",240,9,20,5,44,16,15,14,46,5,2,18,23
"team",22200085,"ATL",1610612737,"Hawks","Atlanta",240,16,15,14,46,9,20,5,44,2,5,23,18
"team",22200084,"PHI",1610612755,"76ers","Philadelphia",240,24,8,11,42,29,9,4,38,6,3,22,20
"team",22200084,"CHI",1610612741,"Bulls","Chicago",240,29,9,4,38,24,8,11,42,3,6,20,22
"team",22200081,"SAC",1610612758,"Kings","Sacramento",240,14,10,17,52,28,19,8,46,6,3,29,25
"team",22200081,"MIA",1610612748,"Heat","Miami",240,28,19,8,46,14,10,17,52,3,6,25,29
"team",22200083,"IND",1610612754,"Pacers","Indiana",240,11,14,19,34,14,3,9,40,1,9,25,20
"team",22200083,"BKN",1610612751,"Nets","Brooklyn",240,14,3,9,40,11,14,19,34,9,1,20,25
"team",22200087,"UTA",1610612762,"Jazz","Utah",240,31,11,19,52,31,11,26,72,6,5,17,26
"team",22200087,"MEM",1610612763,"Grizzlies","Memphis",240,31,11,26,72,31,11,19,52,5,6,26,17
"team",22200086,"OKC",1610612760,"Thunder","Oklahoma City",265,17,8,18,70,13,11,9,54,6,5,29,30
"team",22200086,"DAL",1610612742,"Mavericks","Dallas",265,13,11,9,54,17,8,18,70,5,6,30,29
"team",22200089,"WAS",1610612764,"Wizards","Washington",240,17,11,10,48,12,4,7,28,6,5,20,15
"team",22200089,"BOS",1610612738,"Celtics","Boston",240,12,4,7,28,17,11,10,48,5,6,15,20
"team",22200095,"LAL",1610612747,"Lakers","Los Angeles",240,11,25,14,48,6,18,9,44,5,8,17,15
"team",22200095,"DEN",1610612743,"Nuggets","Denver",240,6,18,9,44,11,25,14,48,8,5,15,17
"team",22200094,"PHX",1610612756,"Suns","Phoenix",240,24,11,19,52,21,30,11,54,8,1,22,25
"team",22200094,"HOU",1610612745,"Rockets","Houston",240,21,30,11,54,24,11,19,52,1,8,25,22
"team",22200091,"GSW",1610612744,"Warriors","Golden State",240,15,11,6,44,16,20,13,34,4,3,24,25
"team",22200091,"DET",1610612765,"Pistons","Detroit",240,16,20,13,34,15,11,6,44,3,4,25,24
"team",22200090,"NYK",1610612752,"Knicks","New York",240,18,11,28,64,18,7,14,32,2,5,25,22
"team",22200090,"CLE",1610612739,"Cavaliers","Cleveland",240,18,7,14,32,18,11,28,64,5,2,22,25
"team",22200093,"ORL",1610612753,"Magic","Orlando",240,4,20,8,44,13,7,12,54,5,1,23,22
"team",22200093,"DAL",1610612742,"Mavericks","Dallas",240,13,7,12,54,4,20,8,44,1,5,22,23
"team",22200092,"SAS",1610612759,"Spurs","San Antonio",240,10,20,16,34,12,18,17,64,7,7,21,23
"team",22200092,"MIN",1610612750,"Timberwolves","Minnesota",240,12,18,17,64,10,20,16,34,7,7,23,21
"team",22200088,"NOP",1610612740,"Pelicans","New Orleans",240,16,14,21,54,21,16,12,34,1,6,15,15
"team",22200088,"LAC",1610612746,"Clippers","LA",240,21,16,12,34,16,14,21,54,6,1,15,15
"team",22200096,"SAC",1610612758,"Kings","Sacramento",240,25,22,10,34,25,11,8,54,4,6,19,26
"team",22200096,"CHA",1610612766,"Hornets","Charlotte",240,25,11,8,54,25,22,10,34,6,4,26,19
"team",22200100,"MIL",1610612749,"Bucks","Milwaukee",240,18,18,11,50,17,20,11,54,5,3,21,24
"team",22200100,"DET",1610612765,"Pistons","Detroit",240,17,20,11,54,18,18,11,50,3,5,24,21
"team",22200099,"TOR",1610612761,"Raptors","Toronto",240,24,13,43,58,7,16,10,46,9,4,22,27
"team",22200099,"ATL",1610612737,"Hawks","Atlanta",240,7,16,10,46,24,13,43,58,4,9,27,22
"team",22200102,"LAC",1610612746,"Clippers","LA",240,21,3,22,48,14,16,10,50,10,8,18,16
"team",22200102,"HOU",1610612745,"Rockets","Houston",240,14,16,10,50,21,3,22,48,8,10,16,18
"team",22200101,"UTA",1610612762,"Jazz","Utah",240,20,14,4,40,17,22,10,58,6,4,30,17
"team",22200101,"MEM",1610612763,"Grizzlies","Memphis",240,17,22,10,58,20,14,4,40,4,6,17,30
"team",22200097,"WAS",1610612764,"Wizards","Washington",240,15,10,18,50,16,0,17,58,4,3,18,20
"team",22200097,"PHI",1610612755,"76ers","Philadelphia",240,16,0,17,58,15,10,18,50,3,4,20,18
"team",22200098,"IND",1610612754,"Pacers","Indiana",240,23,12,12,54,26,6,18,50,5,9,24,18
"team",22200098,"BKN",1610612751,"Nets","Brooklyn",240,26,6,18,50,23,12,12,54,9,5,18,24
"team",22200106,"PHX",1610612756,"Suns","Phoenix",240,23,8,12,28,15,22,6,42,8,4,20,24
"team",22200106,"MIN",1610612750,"Timberwolves","Minnesota",240,15,22,6,42,23,8,12,28,4,8,24,20
"team",22200103,"CHI",1610612741,"Bulls","Chicago",240,26,20,15,32,14,6,7,44,4,7,13,20
"team",22200103,"BKN",1610612751,"Nets","Brooklyn",240,14,6,7,44,26,20,15,32,7,4,20,13
"team",22200104,"MIA",1610612748,"Heat","Miami",240,28,12,3,42,17,13,5,32,3,5,16,22
"team",22200104,"GSW",1610612744,"Warriors","Golden State",240,17,13,5,32,28,12,3,42,5,3,22,16
"team",22200105,"ORL",1610612753,"Magic","Orlando",240,16,22,10,56,30,14,12,58,10,9,14,17
"team",22200105,"OKC",1610612760,"Thunder","Oklahoma City",240,30,14,12,58,16,22,10,56,9,10,17,14
"team",22200114,"TOR",1610612761,"Raptors","Toronto",240,31,14,41,76,8,21,12,40,6,6,17,20
"team",22200114,"SAS",1610612759,"Spurs","San Antonio",240,8,21,12,40,31,14,41,76,6,6,20,17
"team",22200109,"SAC",1610612758,"Kings","Sacramento",240,12,11,13,52,13,11,5,54,3,5,18,20
"team",22200109,"MIA",1610612748,"Heat","Miami",240,13,11,5,54,12,11,13,52,5,3,20,18
"team",22200113,"MIL",1610612749,"Bucks","Milwaukee",240,28,24,14,56,16,4,13,30,5,3,16,22
"team",22200113,"DET",1610612765,"Pistons","Detroit",240,16,4,13,30,28,24,14,56,3,5,22,16
"team",22200107,"CLE",1610612739,"Cavaliers","Cleveland",265,15,8,14,56,6,8,19,42,4,9,23,24
"team",22200107,"BOS",1610612738,"Celtics","Boston",265,6,8,19,42,15,8,14,56,9,4,24,23
"team",22200111,"CHI",1610612741,"Bulls","Chicago",240,29,12,12,40,17,21,26,48,9,12,18,14
"team",22200111,"CHA",1610612766,"Hornets","Charlotte",240,17,21,26,48,29,12,12,40,12,9,14,18
"team",22200115,"UTA",1610612762,"Jazz","Utah",240,19,11,10,48,26,9,11,60,1,4,17,14
"team",22200115,"DAL",1610612742,"Mavericks","Dallas",240,26,9,11,60,19,11,10,48,4,1,14,17
"team",22200110,"NYK",1610612752,"Knicks","New York",240,13,11,12,50,26,18,24,48,9,4,19,18
"team",22200110,"ATL",1610612737,"Hawks","Atlanta",240,26,18,24,48,13,11,12,50,4,9,18,19
"team",22200116,"POR",1610612757,"Trail Blazers","Portland",240,16,21,10,40,20,6,9,44,3,5,17,19
"team",22200116,"MEM",1610612763,"Grizzlies","Memphis",240,20,6,9,44,16,21,10,40,5,3,19,17
"team",22200112,"LAC",1610612746,"Clippers","LA",240,21,2,13,40,23,16,11,44,6,5,20,22
"team",22200112,"HOU",1610612745,"Rockets","Houston",240,23,16,11,44,21,2,13,40,5,6,22,20
"team",22200117,"NOP",1610612740,"Pelicans","New Orleans",265,19,12,17,64,22,16,20,66,5,8,20,17
"team",22200117,"LAL",1610612747,"Lakers","Los Angeles",265,22,16,20,66,19,12,17,64,8,5,17,20
"team",22200108,"WAS",1610612764,"Wizards","Washington",240,14,9,2,68,7,14,11,38,9,1,18,25
"team",22200108,"PHI",1610612755,"76ers","Philadelphia",240,7,14,11,38,14,9,2,68,1,9,25,18
"team",22200118,"ORL",1610612753,"Magic","Orlando",240,23,17,7,48,27,15,13,52,6,3,22,32
"team",22200118,"GSW",1610612744,"Warriors","Golden State",240,27,15,13,52,23,17,7,48,3,6,32,22
"team",22200119,"OKC",1610612760,"Thunder","Oklahoma City",240,21,8,14,72,16,10,16,46,5,2,19,15
"team",22200119,"DEN",1610612743,"Nuggets","Denver",240,16,10,16,46,21,8,14,72,2,5,15,19
"team",22200126,"SAS",1610612759,"Spurs","San Antonio",240,20,8,14,56,15,2,17,44,2,5,17,25
"team",22200126,"LAC",1610612746,"Clippers","LA",240,15,2,17,44,20,8,14,56,5,2,25,17
"team",22200123,"WAS",1610612764,"Wizards","Washington",240,5,8,10,40,15,15,10,60,3,7,15,19
"team",22200123,"BKN",1610612751,"Nets","Brooklyn",240,15,15,10,60,5,8,10,40,7,3,19,15
"team",22200120,"DET",1610612765,"Pistons","Detroit",240,12,7,12,24,28,11,9,60,6,13,22,15
"team",22200120,"CLE",1610612739,"Cavaliers","Cleveland",240,28,11,9,60,12,7,12,24,13,6,15,22
"team",22200122,"PHI",1610612755,"76ers","Philadelphia",240,21,20,19,42,22,7,21,52,8,8,25,21
"team",22200122,"NYK",1610612752,"Knicks","New York",240,22,7,21,52,21,20,19,42,8,8,21,25
"team",22200121,"MIA",1610612748,"Heat","Miami",240,20,11,9,36,23,9,25,46,2,5,22,19
"team",22200121,"IND",1610612754,"Pacers","Indiana",240,23,9,25,46,20,11,9,36,5,2,19,22
"team",22200127,"TOR",1610612761,"Raptors","Toronto",240,27,25,15,48,26,10,17,50,4,3,22,21
"team",22200127,"DAL",1610612742,"Mavericks","Dallas",240,26,10,17,50,27,25,15,48,3,4,21,22
"team",22200128,"NOP",1610612740,"Pelicans","New Orleans",240,36,10,17,50,18,9,13,42,2,1,21,25
"team",22200128,"GSW",1610612744,"Warriors","Golden State",240,18,9,13,42,36,10,17,50,1,2,25,21
